All Ordinaries Index (1 June 2020),,,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap,
PLS,Pilbara Minerals Ltd,Materials,"589,282,000",0.03,,,
PME,Pro Medicus Ltd,Health Care,"3,047,720,000",0.16,,,
PMV,Premier Investments Ltd,Consumer Discretionary,"2,603,080,000",0.14,,,
PNI,Pinnacle Investment Management Group Ltd,Financials,"781,508,000",0.04,,,
PNR,Pantoro Ltd,Materials,"252,828,000",0.01,,,
PNV,Polynovo Ltd,Health Care,"1,778,330,000",0.1,,,
PPC,Peet Ltd,Real Estate,"449,469,000",0.02,,,
PPE,People Infrastructure Ltd,Industrials,"192,741,000",0.01,,,
PPG,Pro-Pac Packaging Ltd,Materials,"150,055,000",0.01,,,
PPH,Pushpay Holdings Ltd,Information Technology,"1,896,450,000",0.1,,,
PPS,Praemium Ltd,Information Technology,"153,240,000",0.01,,,
PPT,Perpetual Ltd,Financials,"1,449,620,000",0.08,,,
PRN,Perenti Global Ltd,Materials,"866,264,000",0.05,,,
PRU,Perseus Mining Ltd,Materials,"1,553,510,000",0.08,,,
PSI,PSC Insurance Group Ltd,Financials,"679,150,000",0.04,,,
PSQ,Pacific Smiles Group Ltd,Health Care,"220,295,000",0.01,,,
PTM,Platinum Asset Management Ltd,Financials,"2,211,780,000",0.12,,,
PVS,Pivotal Systems Corporation,Information Technology,"94,495,500",0.01,,,
PWH,PWR Holdings Ltd,Consumer Discretionary,"424,372,000",0.02,,,
QAN,Qantas Airways Ltd,Industrials,"5,978,080,000",0.32,,,
QBE,QBE Insurance Group Ltd,Financials,"12,840,900,000",0.69,,,
QIP,QANTM Intellectual Property Ltd,Industrials,"144,371,000",0.01,,,
QUB,QUBE Holdings Ltd,Industrials,"5,160,840,000",0.28,,,
RBL,Redbubble Ltd,Consumer Discretionary,"333,110,000",0.02,,,
RCT,Reef Casino Trust,Consumer Discretionary,"91,498,800",0,,,
RDC,Redcape Hotel Group,Consumer Discretionary,"422,429,000",0.02,,,
REA,REA Group Ltd,Communication Services,"13,540,300,000",0.73,,,
REG,Regis Healthcare Ltd,Health Care,"439,093,000",0.02,,,
REH,Reece Ltd,Industrials,"6,111,010,000",0.33,,,
REX,Regional Express Holdings Ltd,Industrials,"118,967,000",0.01,,,
RFF,Rural Funds Group,Real Estate,"665,295,000",0.04,,,
RHC,Ramsay Health Care Ltd,Health Care,"15,941,600,000",0.86,,,
RHP,Rhipe Ltd,Information Technology,"303,735,000",0.02,,,
RIC,Ridley Corporation Ltd,Consumer Staples,"230,138,000",0.01,,,
